date,volume,open,close,high,low,adjclose,T10Y2Y
2/8/2018,246449500,268.0100098,257.6300049,268.1700134,257.5899963,251.7188568,1.13
2/7/2018,167376100,268.5,267.6700134,272.3599854,267.5799866,261.5284729,1.12
2/6/2018,355026800,259.9400024,269.1300049,269.7000122,258.7000122,262.9549866,1.11
2/5/2018,294681800,273.4500122,263.9299927,275.8500061,263.3099976,257.8742676,1.14
2/2/2018,173174800,280.0799866,275.4500122,280.230011,275.4100037,269.1300049,1.15
2/1/2018,90102500,281.0700073,281.5799866,283.0599976,280.6799927,275.1193237,1.13
1/31/2018,108364800,282.730011,281.8999939,283.2999878,280.6799927,275.4320068,1.16
1/30/2018,131796400,282.6000061,281.7600098,284.7399902,281.2200012,275.2951965,1.17
1/29/2018,90118300,285.9299927,284.6799927,286.4299927,284.5,278.1481628,1.17
1/26/2018,107743100,284.25,286.5799866,286.6300049,283.9599915,280.0046082,1.18
1/25/2018,84587300,284.1600037,283.2999878,284.269989,282.3999939,276.7998047,1.18
1/24/2018,134816100,284.019989,283.1799927,284.7000122,281.8399963,276.6826172,1.2
1/23/2018,97084700,282.7399902,283.2900085,283.6199951,282.3699951,276.7901001,1.22
1/22/2018,91322400,280.1700134,282.6900024,282.6900024,280.1099854,276.2038269,1.22
1/19/2018,140920100,279.7999878,280.4100037,280.4100037,279.1400146,273.9761658,1.23
1/18/2018,100728000,279.480011,279.1400146,279.9599915,278.5799866,272.735321,1.21
1/17/2018,109354500,278.0299988,279.6099854,280.0499878,276.9700012,273.1944885,1.2
1/16/2018,106555100,279.3500061,276.9700012,280.0899963,276.1799927,270.6151123,1.18
1/12/2018,90816100,276.4200134,277.9200134,278.1099854,276.0799866,271.5433044,1.17
1/11/2018,62361500,274.75,276.1199951,276.1199951,274.5599976,269.7845764,1.17
1/10/2018,69574300,273.6799927,274.1199951,274.4200134,272.9200134,267.8304749,1.17
1/9/2018,57254000,274.3999939,274.5400085,275.25,274.0799866,268.2408752,1.14
1/8/2018,57319200,273.3099976,273.9200134,274.1000061,272.980011,267.6350708,1.16
1/5/2018,83524000,272.5100098,273.4200134,273.5599976,271.9500122,267.1465454,1.19
1/4/2018,80636400,271.2000122,271.6099854,272.1600037,270.5400085,265.3780518,1.2
1/3/2018,90070400,268.9599915,270.4700012,270.6400146,268.9599915,264.2642212,1.2
